"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 26 20:07:17 GMT 2023","Sun Feb 26 20:07:17 GMT 2023","4","tests.user_api","test_user_create","","","","test_attempt_create_user_with_random_token",""
"broken","Sun Feb 26 20:07:17 GMT 2023","Sun Feb 26 20:07:17 GMT 2023","3","tests.food_section_api","test_food_section_update","","","","test_update_food_section_with_existing_ordering_priority",""
"failed","Sun Feb 26 20:07:22 GMT 2023","Sun Feb 26 20:07:22 GMT 2023","4","tests.user_api","test_user_update","","","","test_update_user_with_existing_first_name",""
"failed","Sun Feb 26 20:07:22 GMT 2023","Sun Feb 26 20:07:23 GMT 2023","4","tests.user_api","test_user_update","","","","test_update_user_with_existing_last_name",""
"skipped","Sun Feb 26 20:07:09 GMT 2023","Sun Feb 26 20:07:09 GMT 2023","0","tests.food_item_api","test_food_item_create","","","","test_attempt_create_food_item_with_empty_price",""
"failed","Sun Feb 26 20:07:19 GMT 2023","Sun Feb 26 20:07:19 GMT 2023","2","tests.user_api","test_user_create","","","","test_attempt_create_user_with_empty_first_name",""
"failed","Sun Feb 26 20:07:23 GMT 2023","Sun Feb 26 20:07:23 GMT 2023","4","tests.user_api","test_user_update","","","","test_update_user_with_existing_phone_number",""
"broken","Sun Feb 26 20:07:08 GMT 2023","Sun Feb 26 20:07:08 GMT 2023","0","tests.food_item_api","test_food_item_create","","","","test_create_food_item",""
"broken","Sun Feb 26 20:07:16 GMT 2023","Sun Feb 26 20:07:16 GMT 2023","2","tests.food_section_api","test_food_section_update","","","","test_attempt_update_food_section_with_random_token",""
"failed","Sun Feb 26 20:07:24 GMT 2023","Sun Feb 26 20:07:24 GMT 2023","4","tests.user_api","test_user_update","","","","test_update_user_with_empty_first_name",""
"broken","Sun Feb 26 20:07:12 GMT 2023","Sun Feb 26 20:07:12 GMT 2023","0","tests.food_item_api","test_food_item_update","","","","test_attempt_update_food_item_with_empty_price",""
"broken","Sun Feb 26 20:07:15 GMT 2023","Sun Feb 26 20:07:15 GMT 2023","1","tests.food_section_api","test_food_section_find","","","","test_find_food_section",""
"passed","Sun Feb 26 20:07:06 GMT 2023","Sun Feb 26 20:07:06 GMT 2023","10","tests.auth_api","test_auth_register","","","","test_attempt_register_with_existing_phone_number",""
"failed","Sun Feb 26 20:07:24 GMT 2023","Sun Feb 26 20:07:24 GMT 2023","4","tests.user_api","test_user_update","","","","test_update_user_with_empty_age",""
"broken","Sun Feb 26 20:07:10 GMT 2023","Sun Feb 26 20:07:10 GMT 2023","0","tests.food_item_api","test_food_item_find","","","","test_find_food_item",""
"failed","Sun Feb 26 20:07:22 GMT 2023","Sun Feb 26 20:07:22 GMT 2023","5","tests.user_api","test_user_update","","","","test_update_user_with_existing_username",""
"broken","Sun Feb 26 20:07:17 GMT 2023","Sun Feb 26 20:07:17 GMT 2023","12","tests.food_section_api","test_food_section_update","","","","test_update_food_section_with_empty_ordering_priority",""
"broken","Sun Feb 26 20:07:08 GMT 2023","Sun Feb 26 20:07:08 GMT 2023","0","tests.food_item_api","test_food_item_create","","","","test_attempt_create_food_item_with_existing_name",""
"failed","Sun Feb 26 20:07:19 GMT 2023","Sun Feb 26 20:07:19 GMT 2023","3","tests.user_api","test_user_create","","","","test_attempt_create_user_with_empty_last_name",""
"failed","Sun Feb 26 20:07:25 GMT 2023","Sun Feb 26 20:07:25 GMT 2023","4","tests.user_api","test_user_update","","","","test_update_user_with_phone_number",""
